Name,Street,Municipality,Categories,Time Zone,Phone,Phones,Owner,Email,Social Medias,Review Count,Average Rating,Google Maps URL,Latitude,Longitude,Website,Domain,Image,Place Id,Sport
ONE Padel - Winner Memorable Center,"Via Giuseppe Parini, 4",00012 Setteville RM,Padel club,Europe/Rome,+39 348 587 3150,"348 587 3150, +39 348 587 3150",ONE Padel - Winner Memorable Center (Owner),"eventi@realtyonesport.it,winnersportssdsrl@legalmail.it","facebook: https://www.facebook.com/winnermemorablecenter
instagram: https://www.instagram.com/winnercenter_
linkedin: https://www.linkedin.com/company/winner-memorable-center",26,4.7,https://www.google.com/maps?cid=6232846676335036101,41.9427596,12.6529277,https://winnercenter.it/,winnercenter.it,https://lh3.googleusercontent.com/p/AF1QipNUnmLoEEbEr8WJ1a2_wgq8CgVGxFR027HhlVqo,ChIJMwpnDhR7LxMRxYZscgeFf1Y,padel
Joy Padel Club,"Via di Torre Spaccata, 155",00173 Roma RM,Padel club,Europe/Rome,+39 06 8393 6860,"06 8393 6860, +39 06 8393 6860",Joy Padel Club (Owner),joypadelclub@gmail.com,"facebook: https://www.facebook.com/JoyPadelClub
instagram: https://www.instagram.com/joypadelclubroma",427,4.6,https://www.google.com/maps?cid=5886776971100535738,41.8629175,12.5841257,http://www.joypadelclub.com/,joypadelclub.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXDLbPtLbE_o2Bl1yhJMvqdghh1b1M5mYY8cxyWERjD3OkxROlrGNAuhS64M9ztBoVJf_6ivD-hfdykNLokv9pQgWZT8lFv6yMvtroj-41L33aiYgG7BVeQ5gpeAyk0jMpCCE,ChIJfdfBWz1jLxMRurtlOncIslE,padel
Sunny Padel,"Via Giulio Vincenzo Bona, 103",00156 Roma RM,Sports club,Europe/Rome,+39 329 146 4256,"329 146 4256, +39 329 146 4256",Sunny Padel (Owner),,instagram: https://www.instagram.com/sunnypadel,48,4.8,https://www.google.com/maps?cid=14231103013208169789,41.9258101,12.6033943,http://sunnypadel.it/,sunnypadel.it,https://lh3.googleusercontent.com/p/AF1QipN1-pNIECLJ4xBSBWWApQlJU-g_T5aVZOtPVI6X,ChIJS6PxGXdjLxMRPZ1DeMoIf8U,padel
Contra Padel SSD,"Via Mattia Battistini, 149",00167 Roma RM,Sports club,Europe/Rome,+39 366 458 6346,"366 458 6346, +39 366 458 6346",Contra Padel SSD (Owner),ssdcontrapadel@gmail.com,"facebook: https://www.facebook.com/contrapadelssd
instagram: https://www.instagram.com/contrapadelssd",130,4.7,https://www.google.com/maps?cid=12129818875015784508,41.9094624,12.4174451,https://contrapadelit.matchpoint.com.es/index.aspx#1,matchpoint.com.es,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyexVLt6gFsE4C5_o6iAgvvapYKWEUuWNI6ABOxiAuWsT0_diXWwYPDyWmMBDuf25jUegvXyt-2ccFGS-udza3fY5w2ihEr-oNzqroW9f34pNsocHNpPpbk7yb7Ia6kiMef4Nw,ChIJpe8l2zpfLxMRPOgkEwDGVag,padel
Padel Club Guidonia,"Via Casal Bianco, 116",00012 Guidonia Montecelio RM,Sports club,Europe/Rome,+39 392 309 3033,"392 309 3033, +39 392 309 3033",Padel Club Guidonia (Owner),,,65,4.8,https://www.google.com/maps?cid=5195330902721977500,41.975026,12.7010046,http://www.padelclubtivoliguidonia.it/,padelclubtivoliguidonia.it,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyOfTJ1prq527yFcDM7D-RH5LNUCxItwoPbYeQ3niINp_5INwKd-BcX7DqGUCdCUg6zGA2lAHGv_RyydvHFHFrabcDtl00Mw1QFcXn3bHi_mpWEqY7t-oLiwPfKlWsjkNiMUX_z3w,ChIJibE8i2t7LxMRnFxaE-6FGUg,padel
Reserva Padel Club,"Via di Torrenova, 32",00133 Roma RM,Padel club,Europe/Rome,+39 391 919 6368,"391 919 6368, +39 391 919 6368",Reserva Padel Club (Owner),,,23,4.8,https://www.google.com/maps?cid=12926055905303992439,41.866214,12.6179985,https://reservapadelclub.it/,reservapadelclub.it,https://lh3.googleusercontent.com/p/AF1QipOvrIcS8AwERY6n1eJymVdo7c-ILxzKfEBWnlG5,ChIJn-96altjLxMRdxh8VlyTYrM,padel
Bola Padel Club,"Via Luigi Perna, 26",00142 Roma RM,"Padel club, Sports club",Europe/Rome,+39 06 4566 6306,"06 4566 6306, +39 06 4566 6306",Bola Padel Club (Owner),bolapadelclub@gmail.com,"facebook: https://www.facebook.com/bolapadelclub,https://www.facebook.com/otticabargeroroma
instagram: https://www.instagram.com/bolapadelclub",577,4.6,https://www.google.com/maps?cid=631228231874528184,41.8466004,12.4809105,http://www.bolapadelclub.com/,bolapadelclub.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxP7mnl7-_aYYJCwyCk_4pdCFEmqMg7OADDiLwgbEKGiTwnqxgUaaqGGCDhX-2fQYGqIfUIcZKwsasAVH5mpIogr0zzcnq26GGJjwE44KoPqaJhQV7ZxY6XFaUlDMZbMSOrhco-FA,ChIJlaVIMfSKJRMRuEMUhbuSwgg,padel
Selecto Padel Club,"Via della Tenuta di Torrenova, 90",00133 Roma RM,Padel court,Europe/Rome,+39 351 280 4546,"351 280 4546, +39 351 280 4546",Selecto Padel Club (Owner),,,87,4.6,https://www.google.com/maps?cid=15287729148143232861,41.8573156,12.6154107,,,https://lh3.googleusercontent.com/p/AF1QipOVX8aBSdhL_VaKbqqmeO50xs7uDVJDNKPIXoIp,ChIJqbt8JGpjLxMRXWd2kansKNQ,padel
Golden Padel Club,"Via dei Ruderi di Torrenova, 2",00133 Roma RM,Padel club,Europe/Rome,+39 348 564 8290,"348 564 8290, +39 348 564 8290",Golden Padel Club (Owner),,"facebook: https://www.facebook.com/playtomic.io
instagram: https://www.instagram.com/playtomic
linkedin: https://www.linkedin.com/company/playtomic
youtube: https://www.youtube.com/@playtomic_app",35,4.7,https://www.google.com/maps?cid=1807965139703369529,41.866453,12.6056552,https://playtomic.io/golden-padel-giardinetti/d4d6f942-b4ce-4b5a-873b-127e21f8efd1?q=PADEL~2022-04-07~~~,playtomic.io,https://lh3.googleusercontent.com/p/AF1QipMCNrydnjaGTWLGG8XMyKeWFclRbJc7a_jhYKvM,ChIJnbNszWBjLxMROQ9PLrcuFxk,padel
Asd Padel Cat Roma Marconi,"Lungotevere Dante, 277",00146 Roma RM,Sports club,Europe/Rome,+39 335 661 2285,"335 661 2285, +39 335 661 2285",Asd Padel Cat Roma Marconi (Owner),,,114,4.7,https://www.google.com/maps?cid=16683586915887601056,41.8521093,12.4644925,,,https://lh3.googleusercontent.com/p/AF1QipODEeAMJiL5AjNk-F8dpXxO46QBWV-PSDqIOaPr,ChIJrwKb2POLJRMRoNXVFOgBiOc,padel
Padel Town,"Via Mondaino, 43",00125 Roma RM,Sports club,Europe/Rome,+39 331 333 0708,"331 333 0708, +39 331 333 0708",Padel Town (Owner),,,97,4.5,https://www.google.com/maps?cid=5832400095855414316,41.7788417,12.3712632,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvmacvchKaN1JBoILpxDOwfAKfgWRNzB7LiUCKPGnyOBwDRM44PhYOhq5rZRp0YhNDFv7XyW0-PyvIzR1SJTrOallA_4VEe9G0TLX_hTAiwps2KLox5L8ZdYFdi52fvQTcUxfv,ChIJu8VQLITzJRMRLIxqXfzY8FA,padel
BLACK PADEL CLUB ROMA,"Via di Tor Bella Monaca, 497",00133 Roma RM,Padel court,Europe/Rome,+39 393 998 3362,"393 998 3362, +39 393 998 3362",BLACK PADEL CLUB ROMA (Owner),,,39,4.9,https://www.google.com/maps?cid=12222464596131940308,41.8707902,12.6356665,https://www.instagram.com/black_padel?igsh=d2t4em1vOHplc3pk,instagram.com,https://lh3.googleusercontent.com/p/AF1QipNNBpChkt6rBTl7UbtzTGEtLWgTwww5OROp-oPa,ChIJ79CNHV59LxMR1Ic79Mrqnqk,padel
Padelife Roma,"Via Silicella, 158",00169 Roma RM,Sports club,Europe/Rome,+39 342 367 9922,"342 367 9922, +39 342 367 9922",Padelife Roma (Owner),info@padelife.net,"facebook: https://www.facebook.com/padelife.net
instagram: https://www.instagram.com/padelife_net",103,4.5,https://www.google.com/maps?cid=10486044164126618802,41.8578669,12.5970809,http://www.padelife.net/,padelife.net,https://lh3.googleusercontent.com/p/AF1QipPuIU9vN7mWQDpb2-SQ0tntUPOosEAF1aiNKpa6,ChIJlfVmRoZjLxMRsjTTHZzphZE,padel
Forte Padel Club,"Via Castore Durante, 88",00171 Roma RM,"Padel club, Sports club",Europe/Rome,+39 351 511 4571,"351 511 4571, +39 351 511 4571",Forte Padel Club (Owner),,,166,4.5,https://www.google.com/maps?cid=4398363951120194982,41.8922866,12.5703375,http://www.fortepadel.com/,fortepadel.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGd89NTQ2JV51qRoKzV3dY9ShoRUIsg3EMe8VGx_At5PYlUW0WXEBmiyvyCBzlfaCu55tSalMefJTlCFB9yplg7HiwRLPW97zf-QlbRO2wVxTGeSgzOJ54dy7eHvFDAnbnR77VKQ,ChIJtzrc7HxjLxMRph1nw7UgCj0,padel
Padel Giustiniana Roma,"Via della Giustiniana, 953",00189 Roma RM,Padel court,Europe/Rome,,,Padel Giustiniana Roma (Owner),,,43,4.8,https://www.google.com/maps?cid=14318723881782895016,41.9940789,12.4237104,,,https://lh3.googleusercontent.com/p/AF1QipNaL5eume1yevnXGB87JL-IBUuBLAlqweaTafpo,ChIJMTN-7e5dLxMRqGGSsoFTtsY,padel
Acquedotto Padel Club,"Via delle Nespole, 116",00172 Roma RM,"Padel court, Fitness center, Sports complex",Europe/Rome,+39 06 230 6479,"06 230 6479, +39 06 230 6479",Acquedotto Padel Club (Owner),,,195,4.1,https://www.google.com/maps?cid=13714772545885196500,41.8778889,12.5844108,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyqi7mEjqu4RXiu1nq7OwA3y64LiiuyWUltpgopPuAv6-29WUamGW5RmfxiDrhKRWrWQh90mukEsaI6zVlPQNa-SShrY3QBdyE4WYJU2mJ8nxC4mc7Zm2fPg1iKiqA78J_ktqP-,ChIJLUIM0PJiLxMR1FDEbPeoVL4,padel
Newton Padel Club,"Vicolo di Papa Leone, 131",00148 Roma RM,"Padel club, Sports club",Europe/Rome,+39 339 581 7664,"339 581 7664, +39 339 581 7664",Newton Padel Club (Owner),,,52,4.6,https://www.google.com/maps?cid=14259424624031292964,41.8423483,12.4437272,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxVW7NasaAimgPHyI9xt05D8s_RelgocQ4LsaidlEGm-2SICKePAbwld3viYs7ps87glSvkjtr4zUzsW3T-BME_z2sc_FPoAz0E30r_F_vRXe0NMGcp8-AKe4aYRlIbM9zrN98UnXTFeHUM,ChIJ_0THcaWLJRMRJN7XWCWn48U,padel
Villa Pamphili Padel Club,"Via della Nocetta, 107",00164 Roma RM,"Padel club, Clothing store, Contractor, Sports school",Europe/Rome,+39 366 359 0340,"366 359 0340, +39 366 359 0340",Villa Pamphili Padel Club (Owner),info@villapamphilipadel.com,facebook: https://www.facebook.com/VillaPamphiliPadelClub,120,4.6,https://www.google.com/maps?cid=16890023277477027038,41.8829062,12.4324866,http://villapamphilipadel.com/,villapamphilipadel.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz-IWWmAmYVufo2nICEftE1uTrNT3NT9w54KxF7ptVBCGMC0YO9lkSQ30MPjIq5s5PwUgbNEun8N9vCtMYMy7yxOAr_Uw6jB4LKQvcUafZVyE_wDQKFAuBH12ioV2jHKkZ1GQM,ChIJddRCdKBfLxMR3twYBq9qZeo,padel
Smash Padel Roma,"Via Bosco Marengo, 15",00166 Roma RM,Padel court,Europe/Rome,+39 320 979 5699,"320 979 5699, +39 320 979 5699",Smash Padel Roma (Owner),,,32,4.1,https://www.google.com/maps?cid=5743830359417601138,41.8931305,12.3646441,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz9A7FHQ2WdTQZDvscIHKBgmH5NzBv-ikku3qXK-LbEBTXPW54WpmzYQRyBLBi0msqTw4OX5Pe7EBwCWe3c4V5aana2hMaNTfjaa6C8NZGPYmi3ZBXL7_dJ-Dcoum5x9SAQjkE-,ChIJKd5_oehfLxMRcrwwn0cvtk8,padel
Atletico Padel Club,"Via di Centocelle, 195","c/o Atletico, 2000",Padel club,Europe/Rome,+39 328 069 6775,"328 069 6775, +39 328 069 6775",Atletico Padel Club (Owner),,,97,4.3,https://www.google.com/maps?cid=7991109905605215078,41.8698521,12.5510569,https://www.facebook.com/atleticopadel/?modal=composer&notif_id=1520367202802566&notif_t=aymt_make_page_post_tip&ref=notif,facebook.com,https://lh3.googleusercontent.com/p/AF1QipPdffm_8asneT3U0D7Q1bcFvN5MJM_5rzS4R0hI,ChIJIWoZeQ1iLxMRZkO01B4g5m4,padel
WORLD Aurelio PADEL Center,"Via S. Vitaliano, 30",00168 Roma RM,Padel court,Europe/Rome,+39 377 311 7923,"377 311 7923, +39 377 311 7923",WORLD Aurelio PADEL Center (Owner),segreteria@worldaureliopadelcenter.it,"facebook: https://www.facebook.com/worldcenteraurelio
instagram: https://www.instagram.com/worldaurelio_padelcenter",19,4.6,https://www.google.com/maps?cid=17930874913129696785,41.9090677,12.4111042,https://www.worldaureliopadelcenter.it/,worldaureliopadelcenter.it,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxLLLanoYzofC47jBOqyufaKLfdfRd6XEQW1EMgcBGAEkWaIcKGXQmf_h3XkPnibogkDLv0cR_i07aNLVYRcPELAeThwY9oPDHb_1whYJvX4JtzEEcyknHRmnP16hvsHtpkysIOog,ChIJ5xeFLE1fLxMREQ4PTbtD1_g,padel
Padel club Tivoli Terme,"Via Cesurni, 14",00019 Tivoli Terme RM,"Sports club, Padel club, Padel court, Sports complex, Sports school",Europe/Rome,+39 351 910 5855,"351 910 5855, +39 351 910 5855",Padel club Tivoli Terme (Owner),,,60,4.6,https://www.google.com/maps?cid=13314820361652452421,41.937817,12.7162603,http://www.padelclubtivoliterme.it/,padelclubtivoliterme.it,https://lh3.googleusercontent.com/p/AF1QipNeABIYZnIcJYiD3vAn2p_iM_7yFTTJ6uijtOTl,ChIJzbtEJGR5LxMRRbxu8JK-x7g,padel
Play! Padel,"Via Matteo Bartoli, 153",00143 Roma RM,Sports club,Europe/Rome,+39 342 339 2287,"342 339 2287, +39 342 339 2287",Play! Padel (Owner),segreteriaplaypadel@gmail.com,,41,4.5,https://www.google.com/maps?cid=14754693307536550384,41.8189647,12.4906858,https://playpadel-it.matchpoint.com.es/,playpadel-it.matchpoint.com.es,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw3z6vrw2JL444c1oOi5y1u3rABN9Z0j7-GU6B-bk390PLa8L9yPh0yu6tS7JT4xpW-u7eSWkHLx9ZdlfGSb_VtHUfEMvRxigdkWR-XL_9rqRFJQygTvZHS6gWDrxf6gKOFFntQ,ChIJHTL2LW-LJRMR8KmMtWMzw8w,padel
Padel Star Talenti,"Via Nomentana, 858",00137 Roma RM,Sports club,Europe/Rome,+39 345 229 3339,"345 229 3339, +39 345 229 3339",Padel Star Talenti (Owner),,,146,4.6,https://www.google.com/maps?cid=2289906574607997634,41.9396087,12.5516757,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxm0aLz0j3wVJgPRdN1tM87C5_DBA10KR__fGVzA-8CoyJF_9w8ZA-cjAS4yHoA6MU40_FzTJE48LdeVVAu0R2qXOVxasGPlVh3gtpDptfHUWNMNxm6wFtmcmFUKHFllRy8o2pR,ChIJSwSgVOBjLxMRwlpXrOVhxx8,padel
Pro Padel Academy - Guidonia,"Via Enzo Ferrari, 19",00012 Guidonia Montecelio RM,Sports club,Europe/Rome,+39 353 393 7771,"353 393 7771, +39 353 393 7771",Pro Padel Academy - Guidonia (Owner),info@pro-padel.it,"facebook: https://www.facebook.com/ProPadelAcademy,https://www.facebook.com/Pro-Padel-Academy-101370492710911
instagram: https://www.instagram.com/pro_padel_academy",69,4.8,https://www.google.com/maps?cid=2635714645425707406,41.9457855,12.6826286,https://www.pro-padel.it/,pro-padel.it,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykTuxaBUgibEiJlYbwCm1wNSYjMb62XG2o0yk_mohVMHGAwPzBfuzsCgdQjc50eyObtn6lpN1Y52ToC9wWgYEOfGRQsraXbGMKwOPvpsJKNLeRadn5_weq2eaqxF6e26O2-yq4,ChIJ-0XxTP17LxMRjtnkYYHwkyQ,padel
Aurelia Padel,"Via del Casale di S. Pio V, 34",00165 Roma RM,"Padel club, Social club, Sports complex",Europe/Rome,+39 347 826 9488,"347 826 9488, +39 347 826 9488",Aurelia Padel (Owner),,"facebook: https://www.facebook.com/playtomic.io,https://www.facebook.com/AureliaPadel
instagram: https://www.instagram.com/playtomic
linkedin: https://www.linkedin.com/company/playtomic
youtube: https://www.youtube.com/@playtomic_app",214,4.2,https://www.google.com/maps?cid=17537531057753575112,41.8919017,12.4339343,https://playtomic.io/tenant/a8805520-c0d6-4ef4-9e1e-ddcd4c751c36?utm_source=app_ios&utm_medium=share,playtomic.io,https://lh3.googleusercontent.com/p/AF1QipNM_gF9BAJwf-em-QTMUk5mDjRrUnCIjM4AquJv,ChIJvVKD2eBfLxMRyE7IRpTTYfM,padel
Padel Club Casalotti,"Via Borgosesia, 315",00166 Roma RM,Sports club,Europe/Rome,+39 351 385 7373,"351 385 7373, +39 351 385 7373",Padel Club Casalotti (Owner),,,89,4.5,https://www.google.com/maps?cid=2864866346697684164,41.907537,12.3622388,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnM5BFYipe-2xYVKDmAIKXRymthDOI7rXek49vdZA3QqHv7dPvXFKW1Ln9eONNTLB53yAIzS2TM4aMSxYJthOc70SW0STS02bA50Q02eh8u0T8crR2kV6r4dK28dK4jl_hh263yQ,ChIJaakv6jtfLxMRxPTie8MMwic,padel
Padel Colli Portuensi 2,"Via di Affogalasino, 28",00148 Roma RM,Padel court,Europe/Rome,+39 351 714 2677,"351 714 2677, +39 351 714 2677",Padel Colli Portuensi 2 (Owner),,,88,4.6,https://www.google.com/maps?cid=236285739750263558,41.8641166,12.4347505,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzoL6I2iQZyMHZqor-UG_PrzQQGXgVc1fdOijIqAMTn5PmJUeTXgZqj625LiCaF5se40L4lVPuY2QjigbrVcAtsvzxzRKKQz552_ocNvf-eDkBP7cnhCSGh10teta_rfG8EOjjU,ChIJ05426gv1JRMRBgtO36B0RwM,padel
Pro Roma Padel Club,"Via Verrio Flacco, 41",00177 Roma RM,Padel club,Europe/Rome,+39 347 551 0063,"347 551 0063, +39 347 551 0063",Pro Roma Padel Club (Owner),,,27,4.7,https://www.google.com/maps?cid=1341749348603946250,41.8953268,12.5434947,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzkPuJe4SaMjtmGdXt1S2pnw5Y37CRbbv6gMDGk_xAjTToFt9D9p-C27CWFO5nyyAcDuMbG-LECTHnb3t0IBlqrcTLayEMXIZ1PWxKKhQMJLlOuDi9NozD_jauH3Ljt-am9TsA,ChIJdRiRXK9jLxMRCmUmdezZnhI,padel
King Padel Academy,"Viale della Primavera, 64",00172 Roma RM,Tennis club,Europe/Rome,+39 375 700 3898,"375 700 3898, +39 375 700 3898",King Padel Academy (Owner),,,62,4.8,https://www.google.com/maps?cid=15066453716267393647,41.8850412,12.55959,https://www.instagram.com/kingpadelacademy/,instagram.com,https://lh3.googleusercontent.com/p/AF1QipMNilBF6bUnFocSdVupdShvyNXnJcqz3xa9c8mq,ChIJVxDM7jFjLxMRb2L7VtTLFtE,padel
Stella Azzurra Padel Club,"Via dei Cocchieri, 11",00146 Roma RM,Padel club,Europe/Rome,+39 328 430 7288,"328 430 7288, +39 328 430 7288",Stella Azzurra Padel Club (Owner),stellaazzurrapadleclub@gmail.com,"facebook: https://www.facebook.com/stellaazzurrapadelclub
instagram: https://www.instagram.com/stellaazzurra_padelclub",48,4.9,https://www.google.com/maps?cid=13203591884164862854,41.8500206,12.4709015,https://campipadelroma.it/,campipadelroma.it,https://lh3.googleusercontent.com/p/AF1QipOlVnLpR_GPP1EO-8pQo-o4SoTzJFt6sX0M2lrw,ChIJg6iPGnO1WkwRhpPg7tyUPLc,padel
Màs Padel,"Via della Bufalotta, 663",00139 Roma RM,"Padel club, Padel court",Europe/Rome,+39 339 597 4978,"339 597 4978, +39 339 597 4978",Màs Padel (Owner),,,113,4.5,https://www.google.com/maps?cid=1002579064033464648,41.9648213,12.5452022,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYB0oiQM5SwuBQC2H2VIEgVrin1nCnx29k-wLilasirvBgarFvTT4ttIbZumrTNoHo5C3ysUCfDGMThMs6VF-INKsje_p1GSd8u0u1XLHvfHfanxH8dHFPPtyaoQAtvoYNnSgl,ChIJE4Tk8jtkLxMRSFH1yljg6Q0,padel
